id,size,zeta_potential,concentration,composition,coating,toxicity,size_nm,zeta_potential_mv,source_sheet,Nanoparticle Category,Toxicity Classification,Nanoparticle Name,Nature of the particle (Organic/Inorganic),particle size (nm),Hydrodynamic size  (nm),Morphology,Polydispersity Index (PDI),Zeta potential (mV),Surface Area. (m2/g),Surface Chemistry,Energy band gap (eV),pH,Temperature,Dosage In vitro (993 missing values),Dosage in vivo (1577 missing values),Cell Viability %,Dissolution rate (mg/L),Necrosis %,Membrane Damage (%),ROS Production,LC50 Value,IC50/EC 50  value,LD50 Value,Exposure Time (in hrs),Target organism/cells,Reference Paper/s,Metabolic activity,Other relevant test,Category,Total Rows,Toxic Count,Non-toxic Count,Insufficient Data Count,Toxic %,LC50 Threshold (median),IC50 Threshold (median),Size_nm_count,Size_nm_min,Size_nm_max,Size_nm_mean,Size_nm_median,Hydro_size_nm_count,Hydro_size_nm_min,Hydro_size_nm_max,Hydro_size_nm_mean,Hydro_size_nm_median,PDI_count,PDI_min,PDI_max,PDI_mean,PDI_median,Zeta_mV_count,Zeta_mV_min,Zeta_mV_max,Zeta_mV_mean,Zeta_mV_median,Surface_area_count,Surface_area_min,Surface_area_max,Surface_area_mean,Surface_area_median,Band_gap_eV_count,Band_gap_eV_min,Band_gap_eV_max,Band_gap_eV_mean,Band_gap_eV_median,pH_val_count,pH_val_min,pH_val_max,pH_val_mean,pH_val_median,Viability_pct_count,Viability_pct_min,Viability_pct_max,Viability_pct_mean,Viability_pct_median,Dissolution_count,Dissolution_min,Dissolution_max,Dissolution_mean,Dissolution_median,Necrosis_pct_count,Necrosis_pct_min,Necrosis_pct_max,Necrosis_pct_mean,Necrosis_pct_median,Membrane_dmg_pct_count,Membrane_dmg_pct_min,Membrane_dmg_pct_max,Membrane_dmg_pct_mean,Membrane_dmg_pct_median,LC50_val_count,LC50_val_min,LC50_val_max,LC50_val_mean,LC50_val_median,IC50_val_count,IC50_val_min,IC50_val_max,IC50_val_mean,IC50_val_median,LD50_val_count,LD50_val_min,LD50_val_max,LD50_val_mean,LD50_val_median,Exposure_hrs_count,Exposure_hrs_min,Exposure_hrs_max,Exposure_hrs_mean,Exposure_hrs_median,Size_nm_toxic_mean,Size_nm_nontoxic_mean,Hydro_size_nm_toxic_mean,Hydro_size_nm_nontoxic_mean,PDI_toxic_mean,PDI_nontoxic_mean,Zeta_mV_toxic_mean,Zeta_mV_nontoxic_mean,Surface_area_toxic_mean,Surface_area_nontoxic_mean,Band_gap_eV_toxic_mean,Band_gap_eV_nontoxic_mean,pH_val_toxic_mean,pH_val_nontoxic_mean,Viability_pct_toxic_mean,Viability_pct_nontoxic_mean,Dissolution_toxic_mean,Dissolution_nontoxic_mean,Necrosis_pct_toxic_mean,Necrosis_pct_nontoxic_mean,Membrane_dmg_pct_toxic_mean,Membrane_dmg_pct_nontoxic_mean,LC50_val_toxic_mean,LC50_val_nontoxic_mean,IC50_val_toxic_mean,IC50_val_nontoxic_mean,LD50_val_toxic_mean,LD50_val_nontoxic_mean,Exposure_hrs_toxic_mean,Exposure_hrs_nontoxic_mean
156,100 nm,-10.76 ± 0.51 mV,"0.05, 0.1, 0.5, 1, 5, 10, 50, 80, 100 µM (cancer); 1-200 µM (normal)",Copper/Copper Oxide,Albumin (BSA) nanocarrier for CuNPs,Toxic,100.0,-10.76,Classified Data,Copper/Copper Oxide,Toxic,Albumin-coated Copper Nanoparticles (ACuNPs),inorganic,100 nm,62.7 nm (mean diameter),Spherical particles with smooth borders,0.36,-10.76 ± 0.51 mV,,Albumin (BSA) nanocarrier for CuNPs,,7.4 (PBS),37°C,"0.05, 0.1, 0.5, 1, 5, 10, 50, 80, 100 µM (cancer); 1-200 µM (normal)",1 mM (100 µl injection),~27% viability at 100 µM (cancer),,0.0211,,~275% relative fluorescence intensity at 150 µM,,70 µM (MDA-MB 231); >400 µM (MCF-10A),,24 hours,MDA-MB 231; MCF-10A; BALB/c mice,10.1371/journal.pone.0188639,,"Cell Cycle: G1: 43%, S: 44%, G2: 13%; Apoptosis: 37.0% early, 4.71% late; In-vivo tumor size: 18 mm³ (treated) vs 138 mm³ (control)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,10–30 nm; ~50 nm,50 mV,,Copper/Copper Oxide,Deionised water; Prepared via laser ablation in liquid (LAL),Toxic,10.0,50.0,Classified Data,Copper/Copper Oxide,Toxic,Bimetallic CuO/FeO,inorganic,10–30 nm; ~50 nm,,Polycrystalline; Core-shell or heterogeneous mixing; some clusters/agglomeration,,50 mV,,Deionised water; Prepared via laser ablation in liquid (LAL),,,37 °C,,,,,,,Hydroxyl (•OH) and superoxide radicals,,,,24 h,Streptococcus mutans; Klebsiella pneumoniae,10.1007/s11468-025-02811-0,,Agar well diffusion (Inhibition Zone): 20 ± 0.500 mm (S. mutans); 16 ± 0.376 mm (K. pneumoniae),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,12–90 nm (TEM); 1–100 nm (FeSEM),,"i/v: 6.1, 9.5, 11.7 μg/kg; i/p: 13.41, 16.75, 19.82 μg/kg",Copper/Copper Oxide,Biosynthesized from Enterococcus faecalis (extracellular enzymatic method),Toxic,12.0,,Classified Data,Copper/Copper Oxide,Toxic,Bio-CuNPs,inorganic,12–90 nm (TEM); 1–100 nm (FeSEM),,"Core shell morphology, spherical shape",,,,Biosynthesized from Enterococcus faecalis (extracellular enzymatic method),,,24 ± 1 °C (Housing conditions),,"i/v: 6.1, 9.5, 11.7 μg/kg; i/p: 13.41, 16.75, 19.82 μg/kg",0% mortality observed,,NA (Glomerular necrosis observed but not quantified by %),,,NA (TLC: 11.7 μg/kg for i/v; 19.82 μg/kg for i/p),9.5 μg/kg (i/v); 16.75 μg/kg (i/p),,14 and 28 days,Male Wistar rats,https://doi.org/10.1186/s11671-018-2497-2,,"Serum Creatinine: 2.34 ± 0.035 mg/dl (i/v, TLC, 28d); ALT: 70.6 ± 2.73 IU/L (i/v, TLC, 28d); AST: 84.7 ± 2.9 IU/L (i/v, TLC, 28d); ALP: 128.7 ± 5.93 IU/L (i/v, TLC, 28d)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,12–90 nm (TEM); 1–100 nm (FeSEM),,i/v: 6.1–11.7 μg/kg; i/p: 13.41–19.82 μg/kg,Copper/Copper Oxide,Capped/stabilised by extracellular enzymes from Enterococcus faecalis,Toxic,12.0,,Classified Data,Copper/Copper Oxide,Toxic,Bio-CuNPs,inorganic,12–90 nm (TEM); 1–100 nm (FeSEM),,Core shell; spherical,,,,Capped/stabilised by extracellular enzymes from Enterococcus faecalis,,,24 ± 1 °C,,i/v: 6.1–11.7 μg/kg; i/p: 13.41–19.82 μg/kg,0% mortality observed,,NA (Glomerular necrosis observed qualitatively),,,,i/v: 9.5 μg/kg; i/p: 16.75 μg/kg,,14 and 28 days,Male Wistar rats (Rattus norvegicus),10.1186/s11671-018-2497-2,,At 14 days (i/v TLC 11.7 μg/kg): ALT: 67.7 ± 3.84 IU/L; AST: 70 ± 2.78 IU/L; ALP: 116.8 ± 3.38 IU/L; Creatinine: 2.3 ± 0.035 mg/dl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,29 nm (Crystallite size),,0.5 mg/mL and 1 mg/mL,Copper/Copper Oxide,Capping agent: Polyvinylpyrrolidone (PVP),Toxic,29.0,,Classified Data,Copper/Copper Oxide,Toxic,Cobalt-doped copper oxide (Co-CuO),inorganic,29 nm (Crystallite size),,Monoclinic nanostructures,,,,Capping agent: Polyvinylpyrrolidone (PVP),1.85 eV,,37 °C (Antibacterial); Room Temperature (Phytotoxicity),0.5 mg/mL and 1 mg/mL,0.5 mg/mL and 1 mg/mL (Insecticidal),75.34% (Insecticidal at 1 mg/mL),,,,,,1 ± 0.19 mg/mL (K. pneumoniae); 1.5 ± 0.170 mg/mL (B. subtilis); 1.5 ± 0.182 mg/mL (E. coli); 1.45 mg/mL (Phytotoxicity),,18 h (Antibacterial); 1 day (Phytotoxicity); 100 min (Photodegradation),"K. pneumoniae, B. subtilis, E. coli, red beetles, seeds",https://doi.org/10.1007/s10971-025-06894-3,,Antioxidant inhibition: 68.19% (at 1 mg/mL); Anti-inflammatory inhibition: 79.3% (at 1 mg/mL); Photodegradation: 85%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,31.06 nm,,50 ppm,Copper/Copper Oxide,Biologically synthesized by Conocarpus erectus L. plant extract,Non-toxic,31.06,,Classified Data,Copper/Copper Oxide,Non-toxic,Copper (Cu),inorganic,31.06 nm,,Crystalline nature,,,,Biologically synthesized by Conocarpus erectus L. plant extract,,NA (Field study),"Field location: 31.40° N, 73.01° E (Faisalabad, Pakistan)",,50 ppm,,,,21.4% decrease in electrolyte leakage (vs infected control),18% decrease in H2​O2​ (vs infected control),,,,23 weeks (crop harvest time); Applied thrice,Cotton (Gossypium hirsutum L.); Cotton leaf curl virus,10.1186/s40538-024-00656-z,,Disease Incidence Reduction: 28%; Disease Infection Reduction: 34.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,,-18.8 mV,"3.125, 6.25, 12.5, 25, 50, 100 µg/mL",Copper/Copper Oxide,Metal nanoparticles,Toxic,,-18.8,Classified Data,Copper/Copper Oxide,Toxic,Copper (Cu),inorganic,,,,,-18.8 mV,,Metal nanoparticles,,7.0 to 7.4,37°C,"3.125, 6.25, 12.5, 25, 50, 100 µg/mL",,"Biofilm formation (12.5 µg/mL): S.a ~75%, S.e ~90%, P.a ~90%",,,,S.a: ~1.35; S.e: ~1.35; P.a: ~1.35,,,,Biofilm: 48 h; ROS: 45 min; TEAC: 8 h,"S. aureus, S. enterica, P. aeruginosa",10.2147/NSA.S485841,,"TEAC (μM): S.a ~285, S.e ~195, P.a ~310",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,50-110 Nm,,0.0125; 0.025; 0.05 and 0.1 M,Copper/Copper Oxide,,Non-toxic,50.0,,Classified Data,Copper/Copper Oxide,Non-toxic,Copper (Cu0) nanoparticles,inorganic,50-110 Nm,,,,,,,,,,0.0125; 0.025; 0.05 and 0.1 M,,,,,8.0-45.9% (sprouts) and 27-46.7% (roots) increase (measured by malonic dialdehyde index),,,,,,Solánum tuberósum L. (Potato),10.1088/1755-1315/341/1/012160,Catalase activity decrease (7.4-36.7%),Peroxidase activity: 603.8 - 713.6 r.u./g; Phenolic compounds (FS) activity: 19.1 - 34.0% decrease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,"10 nm (mode), range 9.2–14 nm (TEM); 15–20 nm (crystalline size); 9.3 nm (XRD)",-5 ± 0.4 mV (in Gamble's solution); NA (in ALF due to rapid dissolution),100 mg/L (nanoparticle stability/dissolution studies),Copper/Copper Oxide,"Crystalline; density 6.3 g/cm³; XPS detected Cu, O, and C (contamination), plus copper hydroxides",Toxic,10.0,-5.0,Classified Data,Copper/Copper Oxide,Toxic,Copper (II) oxide nanoparticles (CuO NPs),inorganic,"10 nm (mode), range 9.2–14 nm (TEM); 15–20 nm (crystalline size); 9.3 nm (XRD)","~1 µm (Gamble’s solution, pH 7.4); 48 ± 8 nm and 231 ± 51 nm (ALF, pH 4.5)",Agglomerated; crystalline monoclinic phase,,-5 ± 0.4 mV (in Gamble's solution); NA (in ALF due to rapid dissolution),47 m²/g (BET method),"Crystalline; density 6.3 g/cm³; XPS detected Cu, O, and C (contamination), plus copper hydroxides",,7.4 (Gamble’s solution); 4.5 (Artificial Lysosomal Fluid),37 °C (in vitro stability); 21 °C (conditioned air for animals),100 mg/L (nanoparticle stability/dissolution studies),"0.6, 2.4, 3.3, 6.3, and 13.2 mg/m³ (6-h concentration equivalents)",0% mortality in rats during 5-d exposure and recovery period,~2% in 24h (pH 7.4); 60% within 1h (pH 4.5),,LDH in BALF (at 13.2 mg/m³): 3503 ± 1114 U/L (Control: 114 ± 55 U/L),,,,413 mg/kg body weight (oral mice; cited from Chen et al. 2006),5 consecutive days (durations from 18 min to 6 h/day),Rats (male outbred HsdCpb:WU),10.3109/17435390.2016.1172678,,Total BALF cells: 13.18 ± 1.78 x 10⁶/mL; Neutrophils: 7.28 ± 0.41 x 10⁶/mL; Total protein: 2070 ± 355 mg/L; ALP: 59.0 ± 28.3 U/L; NAG: 44.2 ± 3.7 U/L; GGT: 31.7 ± 9.6 U/L (all at 13.2 mg/m³ dose on Day 6). BMDL (LDH): 0.12 mg/m³; BMDL (Total cells): 0.16 mg/m³,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,TEM image showed small spherical particles of almost 20 nm. AFM verified that the average height of the PEG-200 encapsulated CuNPs was 6−8 nm.,,"NA (Experiments were carried out on isolated chloroplasts, but the specific concentration used in these assays is not quantified in the provided excerpts.)",Copper/Copper Oxide,Synthesized by encapsulation within a biocompatible polymer PEG-200. CuNPs were also amine functionalized and conjugated with fluorescein-B-isothiocyanate (FITC) for uptake study.,Toxic,20.0,,Classified Data,Copper/Copper Oxide,Toxic,Copper Nanoparticle (CuNP) Nanochain Arrays (polymer-encapsulated CuNPs),inorganic,TEM image showed small spherical particles of almost 20 nm. AFM verified that the average height of the PEG-200 encapsulated CuNPs was 6−8 nm.,,"Small spherical particles sheathed within a polymeric matrix, resulting in a chain-like unique morphology (Cu nanochain array).",,,,Synthesized by encapsulation within a biocompatible polymer PEG-200. CuNPs were also amine functionalized and conjugated with fluorescein-B-isothiocyanate (FITC) for uptake study.,,"Cu release was monitored at pH 7, which is the pH of the plant growth medium. The homogenization buffer for chloroplast isolation was pH 7.8.",,"NA (Experiments were carried out on isolated chloroplasts, but the specific concentration used in these assays is not quantified in the provided excerpts.)","0.05, 0.1, 0.5, and 1 mg/L.",,A sustained release of 0.0136 ppm was noted from the predesigned 0.05 mg/L CuNP nanochain arrays after 24 h.,NA (No necrotic symptoms were noted in CuNP-treated sets).,,"NA (ROS-mediated damage was insignificant in CuNP-treated plants, indicated by unaltered enzyme activities).",,,,4–6 h (seed imbibition prior to germination); 15 days (for growth parameters and biochemical analysis).,Mung bean plants (Vigna radiata var. Sonali).,10.1021/jf504614w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,"<50 nm (Manufacturer spec); 40–60 nm (Before sonication); 15–20 nm (After sonication); 50 nm (XRD evaluation),,",,"10, 25, 50, and 75 µg/ml",Copper/Copper Oxide,99.5% purity; no specific capping agent reported,Non-toxic,50.0,,Classified Data,Copper/Copper Oxide,Non-toxic,"Copper Nanoparticles (Cu-NPs),",inorganic,"<50 nm (Manufacturer spec); 40–60 nm (Before sonication); 15–20 nm (After sonication); 50 nm (XRD evaluation),,",,Spherical,,,29 m²/g,99.5% purity; no specific capping agent reported,,Unchanged following addition of Cu-NPs to water,"20 ± 2°C (In vivo); 30°C (In vitro),","10, 25, 50, and 75 µg/ml","100 µg/L (0.1 ppm),",,,,,,20.5 µg/ml (Catfish primary testicular cells); 37.5 µg/ml (TM3 Leydig cells),,,"21 days (In vivo); 48 hours (In vitro),","Catfish (Clarias batrachus); Mouse (Mus musculus) TM3 Leydig cell line,,","10.3389/fenvs.2016.00067,",Formazan product quantity formed is directly proportional to the number of live cells,"qPCR mRNA Fold Upregulation (Cu-NPs): 3β-hsd (2.6), cyp11a1 (3.8), 11β-hsd2 (1.3), 11β-h (2.6), star (3.0), wt1 (1.7), ad4bp/sf-1 (1.6), dmrt1 (2.2), sox9a (1.6), gata4 (1.6),. Serum Androgens: 11-KT (~0.35 ng/ml); T (~3.9 ng/ml).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,~5 nm,-16.25 ± 0.53 mV,"0.05, 0.1, 0.5, 1, 5, 10, 50, 80, 100 µM (cancer); 1-200 µM (normal)",Copper/Copper Oxide,Trisodium citrate (capping/reducing agent),Toxic,5.0,-16.25,Classified Data,Copper/Copper Oxide,Toxic,Copper Nanoparticles (CuNPs),inorganic,~5 nm,3.3 nm (mean diameter),Spherical shapes,0.66,-16.25 ± 0.53 mV,,Trisodium citrate (capping/reducing agent),,7.4 (PBS),37°C,"0.05, 0.1, 0.5, 1, 5, 10, 50, 80, 100 µM (cancer); 1-200 µM (normal)",,~40% viability at 100 µM (cancer),,0.0131,,~265% relative fluorescence intensity at 150 µM,,80 µM (MDA-MB 231); 109 µM (MCF-10A),,24 hours,MDA-MB 231 (human breast cancer cells); MCF-10A (human normal cells),10.1371/journal.pone.0188639,,"Cell Cycle: G1: 47%, S: 38%, G2: 15%; Apoptosis: 30.8% early, 8.82% late",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,68 ± 2 nm,,0.39–25.0 µg/mL,Copper/Copper Oxide,Uncoated,Toxic,68.0,,Classified Data,Copper/Copper Oxide,Toxic,Copper Nanoparticles (CuNPs),inorganic,68 ± 2 nm,NA (Inconclusive/Instable),Spheroidal,1,,,Uncoated,,7.5–8.3,30 °C,0.39–25.0 µg/mL,,~10% (at 25 µg/mL),~50% after 48 h (at 200 µg/mL); total release at lower doses,,~80% (20% viability in CFDA-AM at 25 µg/mL),,,39 ± 7 µg/mL (reported for 24 h),,48 h,Fish hepatoma cell line PLHC-1,,~10% (MTT at 25 µg/mL),NRU (lysosomal): ~10% (at 25 µg/mL); Intracellular Cu: ~0.8 µg/well,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,,,,Copper/Copper Oxide,Deionised water; Prepared via laser ablation in liquid (LAL),Toxic,,,Classified Data,Copper/Copper Oxide,Toxic,Copper Oxide (CuO),inorganic,,,,,,,Deionised water; Prepared via laser ablation in liquid (LAL),,,37 °C,,,,,,,Hydroxyl (•OH) and superoxide radicals,,,,24 h,Streptococcus mutans; Klebsiella pneumoniae,10.1007/s11468-025-02811-0,,Agar well diffusion (Inhibition Zone): 17 ± 0.577 mm (S. mutans); 11 ± 0.709 mm (K. pneumoniae),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,25–55 nm,-26.68 ± 0.631 mV,"12.5, 25, 50, 100 ppm",Copper/Copper Oxide,,Toxic,25.0,-26.68,Classified Data,Copper/Copper Oxide,Toxic,Copper Oxide (CuO),inorganic,25–55 nm,,,0.211,-26.68 ± 0.631 mV,,,,7.05 (in DI water suspension),20 ± 2 / 16 ± 2°C (Day/Night),,"12.5, 25, 50, 100 ppm",,,,,Induced at 100 ppm,,,,~16 days (from day 14 to day 30),Pea (Pisum sativum L.),10.1007/s42729-021-00692-w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,34 nm (0.25 M); 44 nm (0.5 M),,5 μL of 4 mg/mL (Antibacterial); 10 μL of 4 mg/mL (Antioxidant),Copper/Copper Oxide,"C. orientalis leaf extract (Phytochemicals with -OH, -COOH, -NH2 groups)",Toxic,34.0,,Classified Data,Copper/Copper Oxide,Toxic,Copper Oxide (CuO) NPs,inorganic,34 nm (0.25 M); 44 nm (0.5 M),,Uniform with interlinking pores (0.25 M); Spherical to irregular planer (0.5 M),,,,"C. orientalis leaf extract (Phytochemicals with -OH, -COOH, -NH2 groups)",,,37 °C,5 μL of 4 mg/mL (Antibacterial); 10 μL of 4 mg/mL (Antioxidant),,,,,,,,,,24 h,"K. pneumoniae, P. aeruginosa, S. aureus, E. coli, B. subtilis",10.1016/j.matchemphys.2021.124900,,Disc diffusion method (Zone of inhibition): 10–23 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,30–50 nm,,"0.01, 0.1, 1, 10 μg/ml",Copper/Copper Oxide,Purity >99.5%; sterile and endotoxin-free,Toxic,30.0,,Classified Data,Copper/Copper Oxide,Toxic,Copper Oxide Nanoparticles (CuNP),inorganic,30–50 nm,,Aggregates (observed via TEM),,,,Purity >99.5%; sterile and endotoxin-free,,,37°C,"0.01, 0.1, 1, 10 μg/ml",200 μg/mouse in 100 μL,50% (J774.2 cells) and 75% (peritoneal macrophages) at 10 μg/ml,,,,,~10 μg/ml (for J774.2 cells),,,24 h (in-vitro); 1 h (in-vivo),C57BL/6 Mice; J774.2 murine cell line,10.2217/nnm.16.39,Measured via MTT assay,"Nitrite Production: reduced from ~15 μM (LPS control) to ~8 μM at 10 μg/ml; Arginase activity: increased to ~250% at 24 h; PGE2: increased to ~12,000 pg/ml; In-vivo Macrophage Recruitment: ~20% of cells at 1 h",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,50–300 nm (Mean: 186.24 ± 69.21 nm),,2.5 mg per well,Copper/Copper Oxide,Chitosan (capping/stabilizing agent),Non-toxic,50.0,,Classified Data,Copper/Copper Oxide,Non-toxic,Copper nanoparticle (CuNP),inorganic,50–300 nm (Mean: 186.24 ± 69.21 nm),,Predominantly spherical,Polydispersed (no numerical value),,High (no numerical value),Chitosan (capping/stabilizing agent),,7.3 ± 0.2 (agar); 8.0 (NP solution),37°C,2.5 mg per well,,"Inhibition Rate: BS(99.65%), MRSA(99.65%), PA(99.65%), SC(99.65%), CA(82.75%)",,,,,,,,24 hours,"BS, MRSA, PA, SC, CA",10.2147/IJN.S50837,Growth inhibition (OD600) observed,"Zone of Inhibition (mm): BS(9), MRSA(9), PA(8), SC(9), CA(9)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,50–270 nm (Mean: 161.21 ± 37.93 nm),,2.5 mg per well,Copper/Copper Oxide,Chitosan (capping/stabilizing agent),Non-toxic,50.0,,Classified Data,Copper/Copper Oxide,Non-toxic,Copper nanoparticle (CuNP),inorganic,50–270 nm (Mean: 161.21 ± 37.93 nm),,"Spherical, rod-shaped, or cylindrical",Polydispersed (no numerical value),,High (no numerical value),Chitosan (capping/stabilizing agent),,7.3 ± 0.2 (agar); 8.0 (NP solution),37°C,2.5 mg per well,,"Inhibition Rate: BS(99.65%), MRSA(99.65%), PA(99.65%), SC(99.65%), CA(82.2%)",,,,,,,,24 hours,"BS, MRSA, PA, SC, CA",10.2147/IJN.S50837,Growth inhibition (OD600) observed,"Zone of Inhibition (mm): BS(10), MRSA(9), PA(11), SC(9), CA(9)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,5–50 nm (Mean: 18.29 ± 7.75 nm),,2.5 mg per well,Copper/Copper Oxide,Chitosan (capping/stabilizing agent),Non-toxic,5.0,,Classified Data,Copper/Copper Oxide,Non-toxic,Copper nanoparticle (CuNP),inorganic,5–50 nm (Mean: 18.29 ± 7.75 nm),,Predominantly spherical,Polydispersed (no numerical value),,High (no numerical value),Chitosan (capping/stabilizing agent),,7.3 ± 0.2 (agar); 8.0 (NP solution),37°C,2.5 mg per well,,"Inhibition Rate: BS(95.17%), MRSA(82.2%), PA(58.62%), SC(88.27%), CA(81.37%)",,,,,,,,24 hours,"BS, MRSA, PA, SC, CA",10.2147/IJN.S50837,Growth inhibition (OD600) observed,"Zone of Inhibition (mm): BS(9), MRSA(11), PA(12), SC(11), CA(11)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,2–70 nm (Mean: 9.61 ± 11.90 nm),,2.5 mg per well,Copper/Copper Oxide,Chitosan (capping/stabilizing agent),Toxic,2.0,,Classified Data,Copper/Copper Oxide,Toxic,Copper nanoparticle (CuNP),inorganic,2–70 nm (Mean: 9.61 ± 11.90 nm),,Predominantly spherical,Polydispersed (no numerical value),,High (no numerical value),Chitosan (capping/stabilizing agent),,7.3 ± 0.2 (agar); 8.0 (NP solution),37°C,2.5 mg per well,,"Inhibition Rate: BS(34.48%), MRSA(77.58%), PA(31.03%), SC(79.31%), CA(65.86%)",,,,,,,,24 hours,"BS, MRSA, PA, SC, CA",10.2147/IJN.S50837,Growth inhibition (OD600) observed,"Zone of Inhibition (mm): BS(9), MRSA(11), PA(10), SC(10), CA(9)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,30 nm,,,Copper/Copper Oxide,,Toxic,30.0,,Classified Data,Copper/Copper Oxide,Toxic,Copper nanoparticle (nano-copper),inorganic,30 nm,,Spherical,,,,,,7.2,20–24 °C,,,,,,,,,,1022 mg/kg,,Rats,10.1186/s12302-019-0214-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
